iter	Passed	Remaining
0	1	175
1	3	155
2	4	149
3	6	147
4	7	142
5	8	137
6	10	138
7	11	136
8	13	134
9	14	133
10	16	133
11	17	131
12	19	129
13	20	127
14	22	127
15	23	125
16	25	124
17	27	123
18	28	122
19	30	120
20	31	120
21	33	120
22	35	118
23	36	116
24	38	114
25	39	113
26	41	112
27	43	112
28	46	113
29	48	112
30	50	112
31	52	110
32	53	108
33	55	107
34	57	106
35	58	104
36	60	102
37	61	100
38	63	98
39	65	98
40	66	96
41	67	93
42	69	91
43	70	90
44	72	88
45	73	86
46	75	85
47	77	83
48	78	82
49	80	80
50	82	78
51	83	77
52	85	75
53	86	73
54	88	72
55	89	70
56	91	68
57	92	67
58	94	65
59	96	64
60	97	62
61	99	60
62	101	59
63	102	57
64	103	55
65	105	54
66	106	52
67	108	51
68	110	49
69	111	47
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	34
78	125	33
79	127	31
80	128	30
81	130	28
82	131	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	154	3
98	156	1
99	157	0
