iter	Passed	Remaining
0	153	153287
1	154	77177
2	155	51780
3	156	39033
4	157	31414
5	158	26310
6	159	22663
7	161	19969
8	162	17838
9	163	16147
10	164	14774
11	165	13603
12	166	12611
13	167	11783
14	168	11052
15	169	10406
16	170	9835
17	170	9328
18	171	8876
19	172	8469
20	173	8109
21	175	7792
22	176	7507
23	177	7225
24	178	6971
25	179	6737
26	180	6513
27	181	6306
28	182	6112
29	183	5931
30	184	5761
31	185	5602
32	186	5453
33	187	5313
34	187	5182
35	189	5064
36	190	4952
37	191	4842
38	192	4735
39	193	4633
40	193	4536
41	194	4446
42	195	4360
43	196	4277
44	197	4196
45	198	4120
46	199	4047
47	200	3977
48	201	3913
49	202	3856
50	204	3796
51	204	3736
52	205	3677
53	206	3622
54	207	3568
55	208	3515
56	209	3464
57	210	3417
58	211	3369
59	212	3324
60	213	3281
61	214	3238
62	214	3196
63	215	3156
64	217	3122
65	218	3089
66	219	3054
67	220	3019
68	221	2984
69	222	2950
70	222	2916
71	223	2884
72	224	2852
73	225	2822
74	226	2793
75	227	2763
76	228	2734
77	229	2707
78	229	2680
79	230	2653
80	231	2630
81	232	2607
82	233	2579
83	234	2557
84	235	2534
85	236	2511
86	237	2488
87	238	2467
88	239	2446
89	239	2426
90	240	2406
91	241	2386
92	242	2365
93	243	2346
94	244	2328
95	245	2311
96	246	2294
97	247	2278
98	248	2263
99	249	2246
100	250	2230
101	251	2214
102	252	2198
103	253	2182
104	254	2167
105	255	2153
106	256	2138
107	257	2124
108	258	2109
109	259	2096
110	260	2082
111	261	2070
112	262	2059
113	263	2047
114	264	2037
115	265	2025
116	266	2013
117	267	2001
118	268	1989
119	269	1977
120	270	1966
121	271	1954
122	272	1944
123	273	1933
124	274	1922
125	275	1911
126	276	1901
127	277	1892
128	278	1882
129	279	1872
130	280	1861
131	281	1851
132	282	1840
133	283	1830
134	284	1819
135	284	1809
136	285	1800
137	286	1791
138	287	1782
139	288	1772
140	289	1763
141	290	1752
142	291	1744
143	292	1737
144	293	1730
145	294	1721
146	295	1715
147	296	1708
148	298	1703
149	299	1695
150	300	1687
151	301	1680
152	302	1673
153	303	1665
154	304	1657
155	305	1651
156	306	1646
157	307	1639
158	308	1632
159	309	1624
160	310	1615
161	311	1608
162	311	1601
163	312	1594
164	313	1587
165	314	1580
166	315	1574
167	316	1567
168	317	1560
169	318	1553
170	319	1546
171	319	1540
172	321	1535
173	322	1530
174	327	1541
175	328	1536
176	330	1534
177	330	1528
178	331	1521
179	332	1516
180	333	1509
181	334	1503
182	335	1497
183	336	1492
184	337	1487
185	338	1481
186	339	1476
187	340	1470
188	341	1464
189	342	1459
190	343	1454
191	344	1448
192	345	1443
193	346	1438
194	347	1432
195	347	1427
196	348	1421
197	349	1416
198	350	1411
199	351	1407
200	352	1402
201	354	1398
202	354	1393
203	355	1388
204	357	1384
